sku_item_number,rhl_product_id,product_name,new_rhl_product_name,short_description,size,wholesale_price,manufacturing_type_from_sheet,manufacturing_department_from_sheet,department,category
4017320,200,Adrenal Rx Powder Capsules,Adaptogen Vitality Complex,"Supports stress resilience, relaxation & vitality.",90 vcp,12.7,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
4021090,200,Adrenal Rx Powder Capsules,Adaptogen Vitality Complex,"Supports stress resilience, relaxation & vitality.",180 vcp,21.4,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
4017330,201,Aloe Vera Plus Powder Capsules,Aloe Digestive Comfort,Supports digestive comfort & GI wellness.,60 vcp,14.6,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
4023050,202,Andrographis Powder Capsules,Chuan Xin Lian Andrographis,Supports immune function.,90 vcp,8.4,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
4023060,203,Apple Cider Vinegar Powder Capsules,Organic Apple Cider Vinegar,Supports digestive wellness & everyday metabolic balance.,90 vcp,8.25,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
4019710,204,Ashwagandha Powder Capsules,Withanolide Ashwagandha,"Supports stress resilience, relaxation & vitality.",90 vcp,11.0,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
4023430,204,Ashwagandha Powder Capsules,Withanolide Ashwagandha,"Supports stress resilience, relaxation & vitality.",180 vcp,16.8,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
4015390,205,Astragalus Powder Capsules,Full Spectrum Astragalus,Supports immune wellness & vitality.,90 vcp,7.3,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
4019720,206,Bacopa Powder Capsules,Bacoside Bacopa,"Supports memory, focus & cognitive wellness.",90 vcp,9.7,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
4023570,207,Beet Root COG Powder Capsules,Organic Beet Root,Supports healthy circulation & cardiovascular wellness.,90 vcp,8.7,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
4015400,208,Bilberry Powder Capsules Standardized,Anthocyanin Bilberry,Supports eye & antioxidant wellness.,60 vcp,11.55,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
4021620,209,Bitter Melon Powder Capsules,Concentrated Bitter Melon,Supports healthy glucose metabolism already within the normal range.,90 vcp,9.65,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
4015410,210,Black Cohosh Powder Capsules,Full Spectrum Black Cohosh,Supports women’s wellness & healthy hormonal balance.,90 vcp,8.8,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
4023330,211,Black Walnut COG Powder Capsules,Full Spectrum Black Walnut,Supports digestive & intestinal wellness.,90 vcp,9.9,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
4017340,212,Blood Sugar Harmony Powder Capsule,Metabolic Glucose Support,Supports healthy glucose metabolism already within the normal range.,90 vcp,9.0,Capsules- Fresh Ground,FRESH GROUND VEGGIE CAPSULES,,
